Czy jesteœ studentk¹/studentem.;Czy jesteœ studentk¹/studentem. wartoœæ;Na jakiej uczelni studiujesz?;Na jakiej uczelni studiujesz? wartoœæ;Jaki kierunek studiujesz?;Jaki kierunek studiujesz? wartoœæ;Ile masz lat?;Ile masz lat? wartoœæ;Rodzaj studiów;Rodzaj studiów wartoœæ;Na którym roku studiów jesteœ?;Na którym roku studiów jesteœ? wartoœæ;P³eæ;P³eæ wartoœæ;Czy pracujesz?;Czy pracujesz? wartoœæ;Miejsce zamieszkania:;Miejsce zamieszkania: wartoœæ;Czy jesteœ singlem/singielk¹?;Czy jesteœ singlem/singielk¹? wartoœæ;...21;Czy uwa¿asz ¿e masz tendencje do przepracowywania siê?;Jak czêsto odk³adasz zadania na póŸniej?;Jak bardzo czujesz siê przyt³oczony nadmiarem obowi¹zków? ;Czy uwa¿asz, ¿e iloœæ nauki jest powi¹zana z wynikami?;Jak czêsto uwa¿asz, ¿e kwestionujesz swoje decyzje?;;Czy uwa¿asz ¿e praca w grupie sprawia ci trudnoœæ?;U jakiej czêœci twoich znajomych zauwa¿asz oznaki wypalenia? ;Czy czujesz ¿e masz wsparcie w swoich znajomych ze studiów?;Czy uwa¿asz ¿e masz wsparcie u rodziny i/lub swoich znajomych spoza studiów?;Czy uwa¿asz ¿e masz dobre relacje z prowadz¹cymi? ;...27;Jak czêsto czujesz siê zmêczony/a fizycznie?  ;Jak czêsto czujesz siê emocjonalnie wyczerpany? ;Czy odczuwasz przewlek³y stres? ;Jak czêsto jesteœ aktywny fizycznie?;Jak oceniasz jakoœæ swojego snu?;...33;Czy rozwijasz swoje pasje poza-naukowo? ;Jak du¿o czasu poœwiêcasz na naukê tygodniowo?;...42;Jak oceniasz trudnoœæ twojego kierunku?;data
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;24;24;Studia magisterskie;Studia magisterskie;4;4;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;1;4;4;5;1;;0;2;5;5;3;;2;1;1;4;2;;4;3;;2;12.02.2025 10:21
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Nie;Nie;inne;inne;Nie;Nie;;2;3;2;4;0;;1;2;3;4;4;;3;3;3;3;4;;4;3;;3;12.02.2025 10:21
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;26;26;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Pe³en etat;Pe³en etat;Mieszkam z rodzicami;Mieszkam z rodzicami;To skomplikowane;To skomplikowane;;4;4;4;4;4;;1;1;2;2;2;;5;2;1;5;0;;0;3;;2;12.02.2025 10:27
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;25;25;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;5;2;4;4;5;;3;3;1;5;4;;4;4;3;1;4;;2;1;;4;12.02.2025 10:41
Tak;Tak;Ekonomiczne ;Ekonomiczne ;Informatyczny/Elektroniczny;Informatyczny/Elektroniczny;24;24;Studia magisterskie;Studia magisterskie;1;1;Mê¿czyzna;Mê¿czyzna;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;5;2;5;0;3;;4;3;1;2;2;;4;4;2;3;2;;4;4;;4;12.02.2025 10:43
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Inne;Inne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Niepe³ny etat;Niepe³ny etat;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;4;2;5;3;5;;0;3;4;5;4;;3;4;5;2;2;;3;4;;4;12.02.2025 10:45
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;21;21;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Tak;Tak;;3;4;3;4;4;;1;2;5;5;4;;3;4;2;4;4;;5;3;;3;12.02.2025 10:54
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;33;33;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Niepe³ny etat;Niepe³ny etat;inne;inne;Nie;Nie;;4;3;5;5;4;;4;4;3;3;4;;5;5;5;4;2;;5;4;;4;12.02.2025 10:56
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;22;22;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;3;1;4;3;4;;2;1;5;5;4;;3;3;3;3;4;;1;3;;3;12.02.2025 11:07
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;23;23;Studia magisterskie;Studia magisterskie;1;1;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;3;4;5;5;;1;1;3;4;5;;4;3;1;0;2;;3;2;;0;12.02.2025 11:13
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;21;21;Studia magisterskie;Studia magisterskie;4;4;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;1;1;3;3;4;;2;4;4;5;5;;1;4;2;3;5;;4;2;;3;12.02.2025 12:21
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;21;21;Studia in¿ynierskie;Studia in¿ynierskie;3;3;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;5;3;3;3;4;;2;2;3;3;5;;3;3;2;5;2;;2;3;;2;12.02.2025 12:24
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Informatyczny/Elektroniczny;Informatyczny/Elektroniczny;22;22;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;4;2;5;1;5;;1;4;1;5;4;;4;4;;5;4;;1;3;;5;12.02.2025 12:35
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;0;5;5;3;5;;1;2;1;3;1;;4;4;4;1;1;;1;2;;4;12.02.2025 12:58
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Informatyczny/Elektroniczny;Informatyczny/Elektroniczny;19;19;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;3;4;5;3;4;;1;4;3;2;2;;5;5;5;2;2;;4;3;;5;12.02.2025 13:16
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;35 i wiêcej;35 i wiêcej;Studia magisterskie;Studia magisterskie;1;1;Mê¿czyzna;Mê¿czyzna;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Tak;Tak;;0;0;0;5;0;;0;4;0;5;4;;0;0;0;5;2;;5;5;;0;12.02.2025 13:51
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;23;23;Studia magisterskie;Studia magisterskie;5 lub wiêcej;5 lub wiêcej;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;3;4;4;2;3;;4;3;2;3;3;;3;4;4;3;4;;2;2;;3;12.02.2025 14:02
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Inne;Inne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;4;2;4;2;3;;3;3;5;5;3;;4;4;4;0;1;;5;3;;3;12.02.2025 14:23
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;1;0;3;3;5;;4;4;2;4;2;;4;2;3;0;4;;1;2;;4;12.02.2025 14:34
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;1;4;3;3;1;;2;4;1;1;1;;4;2;2;2;2;;1;1;;3;12.02.2025 14:38
Tak;Tak;Ekonomiczne ;Ekonomiczne ;Kierunki ekonomiczne;Kierunki ekonomiczne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Niepe³ny etat;Niepe³ny etat;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;3;3;5;0;2;;0;4;1;3;1;;5;4;5;3;2;;1;4;;4;12.02.2025 15:01
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;2;3;1;4;;2;4;3;4;2;;4;4;5;3;3;;2;3;;3;12.02.2025 15:03
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;19;19;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;1;2;0;5;1;;2;3;3;3;4;;1;1;1;4;5;;2;2;;0;12.02.2025 15:10
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;2;3;4;4;4;;1;3;5;4;3;;1;5;5;5;2;;3;5;;3;12.02.2025 15:14
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;22;22;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;5;4;4;5;;1;3;4;4;4;;2;4;5;0;2;;0;2;;3;12.02.2025 15:20
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;2;1;5;0;5;;2;0;3;5;2;;4;5;5;1;2;;0;4;;3;12.02.2025 15:21
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;18;18;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;1;5;3;3;3;;1;3;2;3;2;;5;5;5;2;1;;4;1;;3;12.02.2025 15:38
Tak;Tak;Ekonomiczne ;Ekonomiczne ;Ekonomiczny;Ekonomiczny;20;20;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Niepe³ny etat;Niepe³ny etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Tak;Tak;;5;5;4;5;3;;1;5;4;3;2;;5;5;5;2;0;;4;4;;3;12.02.2025 15:49
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;3;1;4;2;5;;1;3;0;4;3;;2;4;4;4;3;;4;4;;2;12.02.2025 15:51
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;28;28;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;5;4;5;3;5;;2;4;3;4;3;;5;5;5;4;3;;3;4;;4;12.02.2025 16:23
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;22;22;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;3;5;1;3;;3;3;4;5;4;;4;4;4;3;2;;1;4;;4;12.02.2025 16:32
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;21;21;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;3;4;5;4;;4;4;5;5;3;;3;4;4;2;1;;4;4;;4;12.02.2025 17:22
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;19;19;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;2;5;3;0;4;;0;3;;3;1;;5;5;5;2;2;;0;3;;3;12.02.2025 17:58
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;24;24;Studia magisterskie;Studia magisterskie;2;2;Mê¿czyzna;Mê¿czyzna;Niepe³ny etat;Niepe³ny etat;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;3;2;3;1;1;;0;4;3;3;4;;2;4;1;4;4;;2;2;;2;12.02.2025 18:51
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;26;26;Studia magisterskie;Studia magisterskie;1;1;Mê¿czyzna;Mê¿czyzna;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;3;3;4;1;4;;2;0;3;1;4;;4;2;4;3;3;;0;4;;0;12.02.2025 19:16
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;35 i wiêcej;35 i wiêcej;Studia magisterskie;Studia magisterskie;4;4;Mê¿czyzna;Mê¿czyzna;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;0;4;5;5;0;;0;3;5;5;5;;2;1;1;5;4;;5;2;;3;12.02.2025 19:32
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;22;22;Studia in¿ynierskie;Studia in¿ynierskie;2;2;Kobieta;Kobieta;Nie;Nie;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Tak;Tak;;4;4;4;3;3;;0;3;2;5;3;;4;5;4;3;3;;2;3;;3;12.02.2025 19:53
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;23;23;Studia magisterskie;Studia magisterskie;5 lub wiêcej;5 lub wiêcej;Mê¿czyzna;Mê¿czyzna;Niepe³ny etat;Niepe³ny etat;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;4;2;3;4;3;;2;3;;4;4;;1;4;4;5;4;;5;1;;3;12.02.2025 20:38
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;19;19;Studia licencjackie;Studia licencjackie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam z rodzicami;Mieszkam z rodzicami;Tak;Tak;;4;4;3;4;2;;2;4;5;3;4;;4;3;3;5;4;;5;3;;2;12.02.2025 20:52
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;22;22;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Utrzymujê siê sam/a;Utrzymujê siê sam/a;Nie;Nie;;3;2;5;1;2;;1;3;3;3;3;;4;4;4;1;5;;2;3;;3;12.02.2025 21:22
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;19;19;Studia licencjackie;Studia licencjackie;1;1;Mê¿czyzna;Mê¿czyzna;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam z rodzicami;Mieszkam z rodzicami;To skomplikowane;To skomplikowane;;4;4;4;5;4;;5;3;0;0;0;;4;3;4;3;0;;0;3;;2;13.02.2025 06:52
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;20;20;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Nie;Nie;;2;4;5;5;3;;3;1;5;5;3;;4;4;4;1;3;;0;2;;3;13.02.2025 11:26
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki Techniczne inne;Kierunki Techniczne inne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Mê¿czyzna;Mê¿czyzna;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;To skomplikowane;To skomplikowane;;3;3;2;4;1;;2;4;4;4;4;;4;4;4;5;3;;4;3;;3;13.02.2025 12:19
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;18;18;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Mniej ni¿ 20h tygodniowo;Mniej ni¿ 20h tygodniowo;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;3;3;2;4;4;;4;3;4;4;3;;3;3;3;3;4;;2;2;;1;13.02.2025 13:17
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Niepe³ny etat;Niepe³ny etat;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;2;2;4;1;2;;0;3;2;2;2;;4;4;5;4;3;;1;3;;3;13.02.2025 13:17
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Ekonomiczny;Ekonomiczny;19;19;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Niepe³ny etat;Niepe³ny etat;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Tak;Tak;;4;3;2;4;2;;0;1;2;5;3;;1;1;1;4;4;;5;3;;4;13.02.2025 13:50
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;20;20;Studia in¿ynierskie;Studia in¿ynierskie;1;1;Kobieta;Kobieta;Nie;Nie;Mieszkam sam/a ze wsparciem rodziców;Mieszkam sam/a ze wsparciem rodziców;Tak;Tak;;0;4;4;2;3;;0;4;3;4;4;;2;1;1;3;4;;4;3;;3;13.02.2025 14:04
Tak;Tak;Technicznej –Politechnika.;Technicznej –Politechnika.;Kierunki ekonomiczne;Kierunki ekonomiczne;24;24;Studia magisterskie;Studia magisterskie;1;1;Kobieta;Kobieta;Pe³en etat;Pe³en etat;Mieszkam z rodzicami;Mieszkam z rodzicami;Nie;Nie;;3;4;1;4;3;;0;1;5;3;5;;3;2;0;2;4;;3;0;;2;13.02.2025 14:20
